question,option_a,option_b,option_c,option_d,answer,category,difficulty
"If 5 workers finish a task in 2 days, how many worker-days are needed?",15,12,10,8,10,Puzzle,Hard
What is 55 + 72?,134,130,125,127,127,Quantitative,Hard
What is the square of 20?,401,405,400,399,400,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",H,K,I,J,I,Logical,Easy
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Easy
"If 2 workers finish a task in 8 days, how many worker-days are needed?",18,14,16,21,16,Puzzle,Easy
What is 53 + 32?,92,83,85,88,85,Quantitative,Easy
What is the square of 8?,63,64,65,69,64,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",K,J,M,L,K,Logical,Medium
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Easy
"If 7 workers finish a task in 10 days, how many worker-days are needed?",68,70,72,75,70,Puzzle,Hard
What is 64 + 58?,122,129,120,125,122,Quantitative,Easy
What is the square of 5?,30,25,26,24,25,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",R,Q,S,T,R,Logical,Easy
Choose the synonym of 'benefit'.,small,weak,late,advantage,advantage,Verbal,Easy
"If 7 workers finish a task in 3 days, how many worker-days are needed?",26,19,21,23,21,Puzzle,Easy
What is 52 + 62?,112,117,121,114,114,Quantitative,Hard
What is the square of 4?,16,15,17,21,16,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",J,L,I,K,J,Logical,Hard
Choose the synonym of 'rapid'.,weak,late,fast,small,fast,Verbal,Medium
"If 2 workers finish a task in 4 days, how many worker-days are needed?",13,10,6,8,8,Puzzle,Medium
What is 88 + 24?,110,115,119,112,112,Quantitative,Medium
What is the square of 18?,324,325,329,323,324,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",L,M,N,K,L,Logical,Hard
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Hard
"If 4 workers finish a task in 6 days, how many worker-days are needed?",29,22,26,24,24,Puzzle,Easy
What is 80 + 97?,175,184,180,177,177,Quantitative,Hard
What is the square of 7?,48,49,54,50,49,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,M,L,K,K,Logical,Easy
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 10 workers finish a task in 2 days, how many worker-days are needed?",20,25,22,18,20,Puzzle,Easy
What is 57 + 72?,136,129,127,132,129,Quantitative,Hard
What is the square of 10?,100,105,101,99,100,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",H,E,F,G,F,Logical,Easy
Choose the synonym of 'benefit'.,advantage,small,late,weak,advantage,Verbal,Medium
"If 2 workers finish a task in 9 days, how many worker-days are needed?",23,18,16,20,18,Puzzle,Hard
What is 72 + 98?,173,168,170,177,170,Quantitative,Hard
What is the square of 15?,230,224,225,226,225,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",P,O,N,Q,O,Logical,Easy
Choose the synonym of 'benefit'.,advantage,small,late,weak,advantage,Verbal,Hard
"If 10 workers finish a task in 5 days, how many worker-days are needed?",55,52,50,48,50,Puzzle,Medium
What is 99 + 28?,127,134,125,130,127,Quantitative,Hard
What is the square of 18?,324,323,329,325,324,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",W,Z,X,Y,X,Logical,Medium
Choose the synonym of 'rapid'.,small,late,weak,fast,fast,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",46,53,50,48,48,Puzzle,Medium
What is 49 + 12?,68,64,61,59,61,Quantitative,Hard
What is the square of 16?,256,255,261,257,256,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",I,H,J,G,H,Logical,Medium
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Medium
"If 8 workers finish a task in 4 days, how many worker-days are needed?",34,30,37,32,32,Puzzle,Easy
What is 33 + 18?,54,51,49,58,51,Quantitative,Medium
What is the square of 14?,196,197,201,195,196,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",S,T,Q,R,R,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Medium
"If 6 workers finish a task in 9 days, how many worker-days are needed?",59,52,54,56,54,Puzzle,Hard
What is 86 + 35?,121,119,128,124,121,Quantitative,Easy
What is the square of 10?,100,101,99,105,100,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",N,P,O,Q,O,Logical,Medium
Choose the synonym of 'ancient'.,late,weak,old,small,old,Verbal,Easy
"If 6 workers finish a task in 10 days, how many worker-days are needed?",62,60,65,58,60,Puzzle,Hard
What is 71 + 96?,167,170,165,174,167,Quantitative,Medium
What is the square of 11?,121,122,120,126,121,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",S,T,U,R,S,Logical,Hard
Choose the synonym of 'ancient'.,small,weak,late,old,old,Verbal,Easy
"If 2 workers finish a task in 6 days, how many worker-days are needed?",17,10,12,14,12,Puzzle,Hard
What is 55 + 44?,99,106,97,102,99,Quantitative,Easy
What is the square of 16?,255,261,256,257,256,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",V,W,X,U,V,Logical,Hard
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Easy
"If 3 workers finish a task in 2 days, how many worker-days are needed?",8,4,6,11,6,Puzzle,Easy
What is 54 + 61?,118,113,115,122,115,Quantitative,Hard
What is the square of 5?,26,24,30,25,25,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",R,U,S,T,S,Logical,Hard
Choose the synonym of 'rapid'.,late,weak,small,fast,fast,Verbal,Easy
"If 10 workers finish a task in 5 days, how many worker-days are needed?",50,48,52,55,50,Puzzle,Hard
What is 99 + 19?,118,116,125,121,118,Quantitative,Easy
What is the square of 20?,405,400,401,399,400,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",V,U,T,W,U,Logical,Hard
Choose the synonym of 'benefit'.,weak,late,small,advantage,advantage,Verbal,Medium
"If 2 workers finish a task in 4 days, how many worker-days are needed?",10,13,8,6,8,Puzzle,Medium
What is 34 + 77?,111,114,109,118,111,Quantitative,Easy
What is the square of 18?,323,329,324,325,324,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",V,U,X,W,V,Logical,Easy
Choose the synonym of 'benefit'.,advantage,weak,late,small,advantage,Verbal,Easy
"If 9 workers finish a task in 5 days, how many worker-days are needed?",47,50,45,43,45,Puzzle,Hard
What is 22 + 75?,100,104,95,97,97,Quantitative,Easy
What is the square of 17?,289,290,288,294,289,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",S,R,Q,P,Q,Logical,Hard
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Easy
"If 4 workers finish a task in 8 days, how many worker-days are needed?",37,30,32,34,32,Puzzle,Medium
What is 38 + 44?,82,89,85,80,82,Quantitative,Medium
What is the square of 13?,170,169,168,174,169,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",Q,N,P,O,O,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",68,61,65,63,63,Puzzle,Hard
What is 59 + 78?,144,140,137,135,137,Quantitative,Easy
What is the square of 12?,144,149,143,145,144,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,R,P,S,Q,Logical,Easy
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Medium
"If 3 workers finish a task in 10 days, how many worker-days are needed?",32,30,28,35,30,Puzzle,Hard
What is 61 + 67?,135,126,131,128,128,Quantitative,Medium
What is the square of 10?,105,100,101,99,100,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",F,D,G,E,E,Logical,Medium
Choose the synonym of 'honest'.,weak,small,late,truthful,truthful,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",30,35,32,28,30,Puzzle,Medium
What is 74 + 66?,138,143,140,147,140,Quantitative,Hard
What is the square of 16?,261,255,256,257,256,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",N,M,O,L,M,Logical,Medium
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Easy
"If 10 workers finish a task in 4 days, how many worker-days are needed?",38,45,40,42,40,Puzzle,Easy
What is 34 + 50?,87,84,91,82,84,Quantitative,Hard
What is the square of 17?,289,290,288,294,289,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,L,M,K,K,Logical,Easy
Choose the synonym of 'honest'.,late,truthful,weak,small,truthful,Verbal,Medium
"If 10 workers finish a task in 3 days, how many worker-days are needed?",28,35,30,32,30,Puzzle,Hard
What is 33 + 76?,112,116,107,109,109,Quantitative,Hard
What is the square of 14?,201,196,195,197,196,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",O,P,N,M,N,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Medium
"If 8 workers finish a task in 5 days, how many worker-days are needed?",42,45,40,38,40,Puzzle,Hard
What is 21 + 87?,115,111,108,106,108,Quantitative,Hard
What is the square of 12?,149,143,144,145,144,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",H,G,E,F,F,Logical,Easy
Choose the synonym of 'ancient'.,old,small,late,weak,old,Verbal,Hard
"If 8 workers finish a task in 6 days, how many worker-days are needed?",53,50,48,46,48,Puzzle,Medium
What is 34 + 72?,113,109,106,104,106,Quantitative,Medium
What is the square of 5?,26,24,30,25,25,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",F,H,I,G,G,Logical,Medium
Choose the synonym of 'rapid'.,weak,fast,small,late,fast,Verbal,Easy
"If 9 workers finish a task in 6 days, how many worker-days are needed?",52,59,56,54,54,Puzzle,Medium
What is 53 + 25?,76,85,81,78,78,Quantitative,Medium
What is the square of 17?,290,288,289,294,289,Quantitative,Medium
"Find the next letter in the series: D, E, F, ?",I,G,H,F,G,Logical,Hard
Choose the synonym of 'honest'.,weak,late,small,truthful,truthful,Verbal,Easy
"If 7 workers finish a task in 3 days, how many worker-days are needed?",19,23,21,26,21,Puzzle,Hard
What is 74 + 42?,119,116,123,114,116,Quantitative,Easy
What is the square of 9?,81,86,82,80,81,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",C,F,E,D,D,Logical,Hard
Choose the synonym of 'benefit'.,advantage,late,weak,small,advantage,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",15,12,8,10,10,Puzzle,Easy
What is 54 + 85?,139,146,137,142,139,Quantitative,Easy
What is the square of 5?,26,25,24,30,25,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",X,U,V,W,V,Logical,Hard
Choose the synonym of 'rapid'.,weak,small,fast,late,fast,Verbal,Medium
"If 6 workers finish a task in 3 days, how many worker-days are needed?",23,18,20,16,18,Puzzle,Easy
What is 14 + 63?,80,84,77,75,77,Quantitative,Medium
What is the square of 5?,24,26,30,25,25,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",Q,P,S,R,Q,Logical,Hard
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Medium
"If 6 workers finish a task in 8 days, how many worker-days are needed?",50,46,48,53,48,Puzzle,Medium
What is 90 + 43?,131,133,136,140,133,Quantitative,Easy
What is the square of 3?,9,14,8,10,9,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",V,S,U,T,T,Logical,Hard
Choose the synonym of 'bright'.,small,smart,late,weak,smart,Verbal,Easy
"If 2 workers finish a task in 3 days, how many worker-days are needed?",6,11,4,8,6,Puzzle,Medium
What is 60 + 81?,139,144,141,148,141,Quantitative,Hard
What is the square of 14?,196,197,195,201,196,Quantitative,Easy
"Find the next letter in the series: H, I, J, ?",M,K,L,J,K,Logical,Easy
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Medium
"If 6 workers finish a task in 2 days, how many worker-days are needed?",10,17,12,14,12,Puzzle,Easy
What is 68 + 10?,78,85,76,81,78,Quantitative,Easy
What is the square of 6?,41,35,37,36,36,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",N,M,L,K,L,Logical,Hard
Choose the synonym of 'bright'.,smart,small,weak,late,smart,Verbal,Easy
"If 10 workers finish a task in 8 days, how many worker-days are needed?",82,85,78,80,80,Puzzle,Hard
What is 20 + 34?,61,54,57,52,54,Quantitative,Hard
What is the square of 7?,48,49,50,54,49,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",R,O,P,Q,P,Logical,Medium
Choose the synonym of 'ancient'.,small,late,weak,old,old,Verbal,Easy
"If 10 workers finish a task in 3 days, how many worker-days are needed?",32,35,28,30,30,Puzzle,Easy
What is 98 + 24?,120,129,122,125,122,Quantitative,Medium
What is the square of 13?,174,170,169,168,169,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",H,G,J,I,H,Logical,Hard
Choose the synonym of 'benefit'.,weak,late,advantage,small,advantage,Verbal,Medium
"If 2 workers finish a task in 5 days, how many worker-days are needed?",8,10,15,12,10,Puzzle,Medium
What is 26 + 53?,82,77,86,79,79,Quantitative,Medium
What is the square of 17?,288,294,289,290,289,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",N,M,L,K,L,Logical,Hard
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Medium
"If 7 workers finish a task in 10 days, how many worker-days are needed?",68,75,70,72,70,Puzzle,Easy
What is 79 + 39?,116,118,121,125,118,Quantitative,Easy
What is the square of 7?,50,54,48,49,49,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",E,D,F,C,D,Logical,Medium
Choose the synonym of 'benefit'.,small,weak,advantage,late,advantage,Verbal,Hard
"If 9 workers finish a task in 4 days, how many worker-days are needed?",34,38,41,36,36,Puzzle,Easy
What is 50 + 60?,117,110,113,108,110,Quantitative,Easy
What is the square of 14?,201,195,196,197,196,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",G,F,H,E,F,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Medium
"If 6 workers finish a task in 4 days, how many worker-days are needed?",29,22,26,24,24,Puzzle,Easy
What is 86 + 23?,116,109,107,112,109,Quantitative,Hard
What is the square of 19?,362,366,360,361,361,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,P,R,Q,P,Logical,Medium
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Hard
"If 10 workers finish a task in 10 days, how many worker-days are needed?",100,98,105,102,100,Puzzle,Medium
What is 34 + 87?,121,124,128,119,121,Quantitative,Hard
What is the square of 8?,69,64,65,63,64,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",H,E,F,G,F,Logical,Easy
Choose the synonym of 'bright'.,late,weak,smart,small,smart,Verbal,Medium
"If 2 workers finish a task in 4 days, how many worker-days are needed?",10,13,8,6,8,Puzzle,Medium
What is 12 + 73?,88,92,83,85,85,Quantitative,Easy
What is the square of 19?,360,366,362,361,361,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",G,I,H,J,H,Logical,Easy
Choose the synonym of 'ancient'.,weak,old,small,late,old,Verbal,Hard
"If 9 workers finish a task in 8 days, how many worker-days are needed?",77,74,72,70,72,Puzzle,Hard
What is 14 + 38?,59,55,52,50,52,Quantitative,Hard
What is the square of 20?,400,405,399,401,400,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",G,H,I,F,G,Logical,Easy
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Hard
"If 3 workers finish a task in 4 days, how many worker-days are needed?",12,14,10,17,12,Puzzle,Medium
What is 63 + 55?,116,121,125,118,118,Quantitative,Medium
What is the square of 8?,65,69,63,64,64,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,L,M,K,K,Logical,Easy
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Hard
"If 3 workers finish a task in 3 days, how many worker-days are needed?",11,9,7,14,9,Puzzle,Easy
What is 76 + 77?,151,160,156,153,153,Quantitative,Hard
What is the square of 17?,290,294,288,289,289,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",K,L,J,M,K,Logical,Hard
Choose the synonym of 'benefit'.,small,late,advantage,weak,advantage,Verbal,Hard
"If 6 workers finish a task in 9 days, how many worker-days are needed?",54,59,52,56,54,Puzzle,Hard
What is 46 + 23?,76,72,69,67,69,Quantitative,Easy
What is the square of 12?,143,149,145,144,144,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",L,J,I,K,J,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Medium
"If 3 workers finish a task in 6 days, how many worker-days are needed?",18,20,16,23,18,Puzzle,Hard
What is 83 + 59?,142,145,140,149,142,Quantitative,Hard
What is the square of 12?,143,145,144,149,144,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",L,I,K,J,J,Logical,Easy
Choose the synonym of 'rapid'.,late,weak,fast,small,fast,Verbal,Easy
"If 9 workers finish a task in 8 days, how many worker-days are needed?",72,70,74,77,72,Puzzle,Hard
What is 22 + 53?,78,82,73,75,75,Quantitative,Hard
What is the square of 9?,80,81,86,82,81,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",I,L,J,K,J,Logical,Medium
Choose the synonym of 'ancient'.,late,old,weak,small,old,Verbal,Easy
"If 2 workers finish a task in 5 days, how many worker-days are needed?",15,8,12,10,10,Puzzle,Hard
What is 67 + 92?,166,157,162,159,159,Quantitative,Medium
What is the square of 11?,121,122,126,120,121,Quantitative,Medium
